Restaurant_Name,Governorate,District,Address_Details,Phone
ابو الدهب,الجيزة.,الهرم,"18 ش الثلاثينى, الطالبية",N/A
ابو الذهب,القليوبية.,شبرا الخيمة,سور نادى المؤسسة - ميدان المؤسسة,N/A
ابو السيد,الشرقية.,ابو كبير,ش التحرير,N/A
ابو الشام,القاهرة.,السيدة زينب,7 ش قدرى,N/A
ابو الشام,دمياط.,رأس البر,السوق العمومى,N/A
ابو الشام,الجيزة.,السادس من اكتوبر,ابراج الاردنية - - الحى السابع,N/A
ابو الشامية,الجيزة.,السادس من اكتوبر,"المجاورة الخامسة, الحى 12",N/A
ابو الشهيد محمود,الجيزة.,فيصل,ش الملكة,N/A
ابو العربى,القاهرة.,الظاهر,10 ش زهنى,N/A
ابو العربى للماكولات البحرية,القاهرة.,القاهرة الجديدة,"القطعة 100 ش مجمع البنوك, متفرع من ش التسعين, التجمع الخامس",N/A
ابو العز,القاهرة.,السيدة زينب,117 ش بورسعيد,N/A
ابو العز,بور سعيد.,بور فؤاد,ش الجمهورية,N/A
ابو العلا,الشرقية.,ابو كبير,ش سعد زغلول,N/A
ابو الفتوح للمشويات,الاسكندرية.,الهانوفيل,ش الهانوفيل,N/A
ابو الفطاير,القاهرة.,المقطم,ش 9,N/A
ابو الليل,الجيزة.,الهرم,ش المنزل متفرع من ش المنصورية,N/A
ابو المراسى,القاهرة.,المنيل,96 ش المنيل,N/A
ابو المهدى,القاهرة.,البساتين,17 ش على عبد العزيز متفرع من ش فايدة كامل,N/A
ابو النجا,الجيزة.,فيصل,ش حسن ابو النجا,N/A
ابو الهنا نت كافيىة,الجيزة.,الحوامدية,3 ش النور,N/A
ابو اليزيد,الجيزة.,امبابة,"11 ش عسران عبد النعيم, متفرع من ش ترعة السواحل",N/A
ابو امين,الغردقة.,سقالة,ش الخلفاء الراشدين,N/A
ابو ايمن,الجيزة.,فيصل,ش على شيحة,N/A
ابو اية,القليوبية.,شبرا الخيمة,ش ترعة الشابورى,N/A
ابو باسم,القاهرة.,حلوان,ش السكة الحديد - عرب غنيم,N/A
ابو بكر الصديق,القاهرة.,الزاوية الحمراء,ش ابو بكر الصديق,N/A
ابو بكر الصديق,القاهرة.,المرج,ش مؤسسة الزكاة,N/A
